,"measured value, xi",y,"deviation, di=xi-x","deviation squared, (di)^2",fit,(y-fit)^2
,157,224,-143,20449,177.5927414,2153.633653
,158,,-142,20164,178.4411767,31841.25355
,159,223,-141,19881,179.2876689,1910.767893
,160,,-140,19600,180.1321518,32447.59212
,161,225,-139,19321,180.9745595,1938.23941
,162,,-138,19044,181.8148257,33056.63086
,163,227,-137,18769,182.6528842,1966.666677
,164,,-136,18496,183.4886686,33668.09152
,165,227,-135,18225,184.3221125,1821.402083
,166,,-134,17956,185.1531493,34281.68869
